Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1999,1999,3050,FAO TIER 1,An,235000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2000,2000,3050,FAO TIER 1,An,238423,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2001,2001,3050,FAO TIER 1,An,240000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2002,2002,3050,FAO TIER 1,An,248747,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2003,2003,3050,FAO TIER 1,An,255000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2004,2004,3050,FAO TIER 1,An,260000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2005,2005,3050,FAO TIER 1,An,265000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2006,2006,3050,FAO TIER 1,An,260000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2007,2007,3050,FAO TIER 1,An,275000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2008,2008,3050,FAO TIER 1,An,270000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2009,2009,3050,FAO TIER 1,An,275000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2010,2010,3050,FAO TIER 1,An,280000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2011,2011,3050,FAO TIER 1,An,300000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2012,2012,3050,FAO TIER 1,An,290000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2013,2013,3050,FAO TIER 1,An,290000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2014,2014,3050,FAO TIER 1,An,308629,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2015,2015,3050,FAO TIER 1,An,313554,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2016,2016,3050,FAO TIER 1,An,318700,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2017,2017,3050,FAO TIER 1,An,313816,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2018,2018,3050,FAO TIER 1,An,318288,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2019,2019,3050,FAO TIER 1,An,322649,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2020,2020,3050,FAO TIER 1,An,326900,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2021,2021,3050,FAO TIER 1,An,330995,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2030,2030,3050,FAO TIER 1,An,322270,F,Forecast value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",2050,2050,3050,FAO TIER 1,An,395854,F,Forecast value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1961,1961,3050,FAO TIER 1,An,382850,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1962,1962,3050,FAO TIER 1,An,383800,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1963,1963,3050,FAO TIER 1,An,394250,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1964,1964,3050,FAO TIER 1,An,408500,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1965,1965,3050,FAO TIER 1,An,427500,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1966,1966,3050,FAO TIER 1,An,477100,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1967,1967,3050,FAO TIER 1,An,517000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1968,1968,3050,FAO TIER 1,An,564000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1969,1969,3050,FAO TIER 1,An,592200,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1970,1970,3050,FAO TIER 1,An,639200,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1971,1971,3050,FAO TIER 1,An,676800,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1972,1972,3050,FAO TIER 1,An,723800,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1973,1973,3050,FAO TIER 1,An,770800,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1974,1974,3050,FAO TIER 1,An,808400,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1975,1975,3050,FAO TIER 1,An,822500,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1976,1976,3050,FAO TIER 1,An,837000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1977,1977,3050,FAO TIER 1,An,930000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1978,1978,3050,FAO TIER 1,An,1074150,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1979,1979,3050,FAO TIER 1,An,1450800,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1980,1980,3050,FAO TIER 1,An,1571700,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,961,"Cattle, non-dairy",1981,1981,3050,FAO TIER 1,An,1613600,E,Estimated value,
